"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,6935,3064,9658,9976,9999,341,23,0
"2",2,7413,2514,8960,9777,9927,967,150,0
"3",3,6532,3467,9461,9989,9999,538,10,0
"4",4,6442,3557,9146,9986,9999,853,13,0
"5",5,7405,2595,9627,9984,10000,373,16,0
"6",6,7961,2039,9815,9994,10000,185,6,0
"7",7,8201,1798,9768,9948,9999,231,51,0
"8",8,7611,2389,9900,9996,10000,100,4,0
"9",9,6507,3491,8360,9609,9998,1638,389,0
"10",10,7526,2474,9329,9909,10000,671,91,0
"11",11,7119,2881,8743,9781,10000,1257,219,0
"12",12,7309,2639,9443,9803,9948,505,145,0
"13",13,7373,2540,9733,9882,9913,180,31,0
"14",14,1283,306,1471,1565,1589,118,24,0
