"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,112354,29017,135363,140386,141371,6008,985,0
"2",2,7990,2009,9741,9983,9999,258,16,0
"3",3,7891,2036,9360,9831,9927,567,96,0
"4",4,7485,2514,9708,9997,9999,291,2,0
"5",5,7516,2483,9450,9988,9999,549,11,0
"6",6,8115,1885,9791,9990,10000,209,10,0
"7",7,8382,1618,9878,9996,10000,122,4,0
"8",8,8611,1388,9790,9948,9999,209,51,0
"9",9,8177,1823,9910,9997,10000,90,3,0
"10",10,6755,3243,8592,9650,9998,1406,348,0
"11",11,7914,2086,9426,9938,10000,574,62,0
"12",12,7503,2497,8960,9809,10000,1040,191,0
"13",13,7771,2177,9479,9777,9948,469,171,0
"14",14,7745,2168,9770,9894,9913,143,19,0
"15",15,1342,247,1514,1571,1589,75,18,0
