"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,112354,29017,135363,140386,141371,6008,985,0
"2",2,7624,2375,9719,9982,9999,280,17,0
"3",3,7760,2167,9255,9808,9927,672,119,0
"4",4,7282,2717,9669,9996,9999,330,3,0
"5",5,7201,2798,9349,9989,9999,650,10,0
"6",6,7951,2049,9767,9988,10000,233,12,0
"7",7,8299,1701,9866,9995,10000,134,5,0
"8",8,8460,1539,9786,9947,9999,213,52,0
"9",9,7978,2022,9910,9996,10000,90,4,0
"10",10,6680,3318,8511,9632,9998,1487,366,0
"11",11,7810,2190,9407,9925,10000,593,75,0
"12",12,7365,2635,8881,9797,10000,1119,203,0
"13",13,7623,2325,9466,9797,9948,482,151,0
"14",14,7657,2256,9759,9893,9913,154,20,0
"15",15,1315,274,1497,1572,1589,92,17,0
