"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,8084,1916,9748,9998,10000,252,2,0
"2",2,8175,1824,9780,9984,9999,219,15,0
"3",3,7846,2081,9423,9837,9927,504,90,0
"4",4,7439,2560,9715,9997,9999,284,2,0
"5",5,7615,2384,9506,9989,9999,493,10,0
"6",6,8056,1944,9795,9987,10000,205,13,0
"7",7,8423,1577,9853,9995,10000,147,5,0
"8",8,8574,1425,9802,9947,9999,197,52,0
"9",9,8244,1756,9909,9996,10000,91,4,0
"10",10,6675,3323,8596,9630,9998,1402,368,0
"11",11,7944,2056,9318,9809,10000,682,191,0
"12",12,7582,2418,9055,9784,10000,945,216,0
"13",13,7853,2095,9501,9758,9948,447,190,0
"14",14,7704,2209,9777,9894,9913,136,19,0
"15",15,1283,306,1513,1568,1589,76,21,0
