"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,6027,3973,9243,9959,10000,757,41,0
"2",2,6010,3989,9508,9953,9999,491,46,0
"3",3,6439,3488,8192,9660,9927,1735,267,0
"4",4,5392,4607,9076,9964,9999,923,35,0
"5",5,5299,4700,8728,9961,9999,1271,38,0
"6",6,6662,3338,9326,9968,10000,674,32,0
"7",7,7262,2738,9706,9992,10000,294,8,0
"8",8,7777,2222,9710,9948,9999,289,51,0
"9",9,6902,3098,9878,9996,10000,122,4,0
"10",10,6089,3909,8096,9485,9998,1902,513,0
"11",11,7165,2835,9160,9848,10000,840,152,0
"12",12,6683,3317,8468,9737,10000,1532,263,0
"13",13,6792,3156,9366,9786,9948,582,162,0
"14",14,6913,3000,9633,9861,9913,280,52,0
"15",15,1242,347,1446,1541,1589,143,48,0
