"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,6875,3125,9422,9987,10000,578,13,0
"2",2,6930,3069,9659,9977,9999,340,22,0
"3",3,7407,2520,8972,9782,9927,955,145,0
"4",4,6567,3432,9479,9989,9999,520,10,0
"5",5,6448,3551,9145,9987,9999,854,12,0
"6",6,7431,2569,9633,9984,10000,367,16,0
"7",7,7966,2034,9817,9994,10000,183,6,0
"8",8,8203,1796,9767,9947,9999,232,52,0
"9",9,7614,2386,9900,9996,10000,100,4,0
"10",10,6508,3490,8365,9615,9998,1633,383,0
"11",11,7517,2483,9327,9905,10000,673,95,0
"12",12,7135,2865,8744,9779,10000,1256,221,0
"13",13,7315,2633,9450,9800,9948,498,148,0
"14",14,7396,2517,9734,9883,9913,179,30,0
"15",15,1285,304,1471,1563,1589,118,26,0
